hospital_name,federal_entity,last_reported_day,is_latest_report,is_today_report,hospital_code,report_day,last_report_ts,ira_death_count,max_report_day,icu_beds_count,icu_beds_added_since_last_report,er_beds_count,er_beds_added_since_last_report,respiratory_units_count,adhoc_ira_capacity_added,adhoc_ira_capacity_respiratory_units_available,masks_available,gloves_available,soap_available,hand_sanitizer_available,ira_cases_in_uci_count,other_cases_in_uci_count,ira_cases_in_er_count,other_cases_in_er_count,ira_cases_in_respiratory_count,power_availability,wash_availability,covid_cases_suspected,covid_cases_confirmed_rapid_test,covid_cases_confirmed_test,covid_cases_confirmed_rapid_test_hospitalized_count,covid_cases_confirmed_test_hospitalized_count
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/16/20,2020-04-17T07:01:04,0,5/26/20,3,No,24,No,1,Sí,Sí,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,0,3,0,16,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/17/20,2020-04-20T07:00:23,0,5/26/20,3,No,24,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,3,10,0,Hay de manera intermitente,Hay de manera intermitente,No,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/18/20,2020-04-20T07:03:20,0,5/26/20,3,No,24,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,2,12,0,Hay de manera intermitente,Hay de manera intermitente,No,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/19/20,2020-04-19T16:40:43,0,5/26/20,3,No,24,No,2,No,Sí,No hay,Sí hay,No hay,No hay,0,0,3,8,0,Sí hay,Sí hay,No,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/20/20,2020-04-20T07:06:15,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,No hay,No hay,No hay,0,3,4,13,0,Hay de manera intermitente,Sí hay,No,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/21/20,2020-04-23T06:39:02,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,3,13,0,Hay de manera intermitente,Sí hay,No,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/22/20,2020-04-23T06:45:03,0,5/26/20,3,No,21,No,2,Sí,No,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,12,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/23/20,2020-04-24T05:34:15,0,5/26/20,3,No,22,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,2,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/24/20,2020-04-24T05:37:28,0,5/26/20,3,No,22,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,11,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,2,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/25/20,,0,5/26/20,3,No,22,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,11,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,2,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/26/20,2020-04-28T07:17:24,0,5/26/20,3,No,22,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,16,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,4,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/27/20,2020-04-28T07:22:30,0,5/26/20,3,No,22,No,2,Sí,Sí,No hay,No hay,No hay,No hay,0,2,4,12,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,4,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/28/20,2020-04-28T07:27:14,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,11,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,4,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/29/20,2020-04-30T06:55:00,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,1,2,5,11,0,Sí hay,Sí hay,Sí,Sí,Sí,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/30/20,2020-05-01T05:41:29,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,12,0,Hay de manera intermitente,Sí hay,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/1/20,2020-05-04T06:36:07,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,14,0,Hay de manera intermitente,Sí hay,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/2/20,2020-05-04T06:39:30,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/3/20,,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/4/20,2020-05-04T06:44:03,0,5/26/20,3,No,21,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/5/20,2020-05-06T07:07:27,0,5/26/20,3,No,20,No,2,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/6/20,2020-05-06T07:10:17,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,2,4,15,0,Hay de manera intermitente,No hay,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/7/20,,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,2,4,15,0,Hay de manera intermitente,No hay,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/8/20,2020-05-09T06:46:22,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,14,0,Hay de manera intermitente,Hay de manera intermitente,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/9/20,2020-05-09T06:49:07,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,12,0,Hay de manera intermitente,No hay,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/10/20,2020-05-11T06:58:08,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,12,0,Hay de manera intermitente,No hay,Sí,No,No,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/11/20,2020-05-14T07:28:04,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/12/20,2020-05-14T07:31:57,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,12,0,Hay de manera intermitente,No hay,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/13/20,2020-05-14T07:36:50,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,14,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/14/20,2020-05-14T07:40:05,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,13,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/15/20,2020-05-15T06:58:41,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/16/20,2020-05-18T06:24:33,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,6,12,0,Hay de manera intermitente,No hay,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/17/20,2020-05-18T06:26:47,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,6,13,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/18/20,2020-05-18T06:29:54,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,12,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,3,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/19/20,2020-05-19T06:38:34,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,12,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,3,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/20/20,2020-05-21T06:48:49,0,5/26/20,3,No,21,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,13,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,6,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/21/20,2020-05-21T06:54:40,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,13,0,Hay de manera intermitente,Hay de manera intermitente,Sí,Sí,Sí,6,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/22/20,2020-05-26T05:49:23,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,12,0,Hay de manera intermitente,No hay,Sí,Sí,Sí,6,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/23/20,2020-05-26T05:52:06,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,12,0,Hay de manera intermitente,No hay,Sí,Sí,Sí,6,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/24/20,2020-05-26T05:54:48,1,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,2,4,13,0,Hay de manera intermitente,No hay,Sí,Sí,Sí,6,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,5/25/20,2020-05-26T05:57:04,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,3,15,0,Hay de manera intermitente,No hay,No,No,No,6,1
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,TRUE,TRUE,AMA000,5/26/20,2020-05-26T05:59:52,0,5/26/20,3,No,20,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,4,13,0,Hay de manera intermitente,No hay,No,No,No,6,1
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/14/20,2020-03-14T20:05:17,0,5/26/20,4,No,50,No,6,No,No,No hay,No hay,No hay,No hay,1,0,2,0,0,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/15/20,2020-03-15T14:08:32,0,5/26/20,4,No,50,No,6,No,No,No hay,No hay,No hay,No hay,1,3,1,3,1,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/16/20,2020-03-16T12:26:09,0,5/26/20,4,No,50,No,6,No,No,No hay,No hay,No hay,No hay,1,3,2,5,1,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/17/20,2020-03-17T12:21:53,0,5/26/20,4,No,50,No,6,No,No,No hay,No hay,No hay,No hay,1,3,1,3,1,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/18/20,2020-03-18T12:04:16,0,5/26/20,4,No,50,No,6,No,No,No hay,No hay,No hay,No hay,1,2,0,6,1,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/19/20,2020-03-19T12:04:39,0,5/26/20,4,No,50,No,6,No,No,No hay,No hay,No hay,No hay,0,4,0,5,0,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/20/20,2020-03-20T14:17:30,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Sí hay,Sí hay,0,3,0,1,0,Sí hay,Sí hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/21/20,2020-03-21T12:20:13,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Sí hay,Sí hay,0,3,0,5,0,Sí hay,Sí hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/22/20,2020-03-22T15:13:35,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,3,0,5,0,Sí hay,No hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/23/20,2020-03-23T12:26:09,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,4,0,6,0,Sí hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/24/20,2020-03-24T12:14:44,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,3,0,0,0,Sí hay,Sí hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/25/20,,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,3,0,0,0,Sí hay,Sí hay,No hay,No hay,No hay,0,0
Hospital Universitario Dr,Anzoátegui,5/25/20,FALSE,FALSE,ANZ000,3/26/20,2020-03-26T12:08:47,0,5/26/20,4,No,50,No,6,No,No,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,4,0,8,0,Sí hay,No hay,No hay,No hay,No hay,0,0
